問題No,難易度,問題,選択肢1,選択肢2,選択肢3,選択肢4,正解,コメント
D-11,D,"新入生歓迎行事の企画運営を行う機関はどれか？","調布祭実行委員会","新入生歓迎実行委員会","執行委員会","会計委員会",2,"機関における細則 第2条に「新入生歓迎実行委員会 新入生歓迎行事の企画運営を行う」と記載されています。"
D-12,D,"副執行委員長の定員は何名か？","1名","2名","3名","特に定められていない",2,"基本則 第3章 第11条に「なお、定員を２名とする」と記載されています。"
D-13,D,"学友会の年度のうち、前期の期間はいつからいつまでか？","四月一日より九月三十日まで","四月一日より三月三十一日まで","六月一日より十一月三十日まで","十二月一日より五月三十一日まで",3,"基本則 第7章 第23条に「前期六月一日より十一月三十日まで」と記載されています。"
D-14,D,"学友会の年度のうち、後期の期間はいつからいつまでか？","十月一日より三月三十一日まで","十一月三十日より五月三十一日まで","六月一日より十一月三十日まで","十二月一日より五月三十一日まで",4,"基本則 第7章 第23条に「後期十二月一日より五月三十一日まで」と記載されています。"
D-15,D,"総会の場で議案の提出及び修正を行うには、どのような形式で提出しなければならないか？","口頭での申し出","書面による提出","電子メールによる提出","事前の電話連絡",2,"第12回総会議案「総会における議案提出及び修正方法に関する議案」の本文に「書面による提出を行なわなければならない」とあります。"
D-16,D,"2年次で学友会に加入する場合の会費はいくらか？","20,000円","15,000円","10,000円","5,000円",2,"学友会費に関する細則 第1条に「2年次加入 ・・・・・・15,000円」と記載されています。"
D-17,D,"3年次で学友会に加入する場合の会費はいくらか？","20,000円","15,000円","10,000円","5,000円",3,"学友会費に関する細則 第1条に「3年次加入 ・・・・・・10,000円」と記載されています。"
D-18,D,"公聴会において、議決を行うことはできるか？","執行委員長の許可があればできる","出席者の過半数の賛成があればできる","いかなる方法の議決も行ってはならない","重要な議題に限ってできる",3,"公聴会に関する細則 第4条に「公聴会においてはいかなる方法の議決も行ってはならない」とあります。"
D-19,D,"本会全体のネットワーク全般の管理を行う機関はどれか？","執行委員会","会計委員会","ネットワーク管理委員会","調布祭実行委員会",3,"機関における細則 第2条に「ネットワーク管理委員会 本会全体のネットワーク全般の管理を行う」と記載されています。"
D-20,D,"総会の議事録は、何年間保管されなければならないか？","1年間","3年間","6年間","永久に",3,"総会に関する細則 第22条に「総会の議事録は、６年間保管されなければならない」と記載されています。"
D-21,D,"サークルが公認を受ける前に、まず何になる必要があるか？","同好会","準公認サークル","仮設サークル","任意団体",2,"サークルに関する細則 第1条に「公認サークルとして承認される前には、準公認サークルであることを必要とする」と記載されています。"
D-22,D,"総会の種類として、会則に定められていないものはどれか？","定期総会","臨時総会","緊急総会","定期総会と臨時総会の両方",3,"基本則 第2章 第9条には「定期総会」と「臨時総会」の二種類が定められています。"
D-23,D,"サークル代表者会議の議決は、どのように行われるか？","議長の独断","出席者の満場一致","1サークル1票の多数決","援助金の額に応じた投票",3,"サークルに関する細則 第11条に「サークル代表者会議における議決は、１サークル1票の多数決で行い」とあります。"
D-24,D,"総会に関する細則で定義されている「議長団」に含まれない役職はどれか？","議長","副議長","書記","執行委員長",4,"総会に関する細則 第4条に「議長団は、議長、副議長及び書記により構成される」とあります。"
D-25,D,"会計委員会の専権（その機関だけが行える職務）とされる職務は何か？","予算の作成","予算の執行","予算についての監査と決算の総会報告","予備費の支出承認",3,"基本則 第5章 第17条に「会計委員会は本会の予算についての監査を行い、決算を総会に報告をする。なお、この職務は会計委員会の専権とする」とあります。"
D-26,D,"一旦納入された学友会費は、原則として返却されるか？","いつでも返却される","入学辞退者を除き原則として返却しない","理由があれば返却される","半額が返却される",2,"学友会費に関する細則 第1条に「一旦納入された会費は、入学辞退者を除き原則として返却しない」とあります。"
D-27,D,"サークルが公認・準公認される際に、活動目的として禁止されているものは何か？","スポーツ活動","文化活動","特定の政治活動または宗教活動","学術研究活動",3,"サークルに関する細則 第2条に「特定の政治活動または宗教活動を行うことを目的としないこと」とあります。"
D-28,D,"執行委員長が総会を公示する際、公示内容に含まれないものはどれか？","開催日時","開催場所","審議される議案の一覧","開催日時と開催場所の両方",3,"総会に関する細則 第3条で公示すると定められているのは「開催日時」と「開催場所」です。議案の一覧は定められていません。"
D-29,D,"緊急の際に備えて計上することができる費用を何というか？","特別費","予備費","交際費","雑費",2,"基本則 第6章 第22条に「本会は緊急の際に備えて、予備費を計上することができる」とあります。"
D-30,D,"過年次生が追加で1年間会員の権利を得るための会費はいくらか？","20,000円","10,000円","5,000円","1,000円",3,"学友会費に関する細則 第1条に「過年次生追加加入 ‥‥‥ 5,000円」とあります。"
D-31,D,"委任状の種類として定められているものは「個人委任状」と何か？","団体委任状","サークル委任状","議長委任状","執行部委任状",3,"総会に関する細則 第10条に「個人委任状」「議長委任状」の2種類が定められています。"
D-32,D,"サークル援助金の対象とならないのはどちらか？","公認サークル","準公認サークル","どちらも対象となる","どちらも対象とならない",2,"サークルに関する細則 第19条に「準公認期間中の活動に対して、サークル援助金は支給されない」とあります。"
D-33,D,"第55回総会で解体された機関はどれか？","体育会","音楽協議会","群青編集委員会","ネットワーク管理委員会",2,"第55回総会議案「音楽協議会の解体およびその解体に関する会則改正案」に記載があります。"
D-34,D,"第19回総会の議案で定められた「サークル援助金」の決定プロセスで、サークルが年度始めに会計委員会に提出する必要がない資料はどれか？","援助金希望項目に関する領収書","次年度の活動計画書","前年度部員名簿","前年度活動報告",2,"第19回総会議案の本文3に提出資料が列挙されており、「次年度の活動計画書」は含まれていません。"
D-35,D,"総会の場で提出する議案の書面に、必ず記載しなければならない項目はどれか？","提出者の連絡先","議案名","想定される反対意見","参考資料一覧",2,"第12回総会議案に記載すべき事項として「議案名」「提出者」「本文」「主旨」「提出理由」が挙げられています。"
D-36,D,"サークル代表者会議の議長団に選出されないのはどのサークルの代表者か？","文化系サークル","体育会系サークル","公認サークル","準公認サークル",4,"サークルに関する細則 第9条に「準公認サークルの代表者は議長団に選出されない」とあります。"
D-37,D,"第21回総会の議案によると、サークル代表者は複数のサークルの代表者を兼任できるか？","できる","できない","議長の許可があればできる","2つまでならできる",2,"第21回総会議案「サークル代表者の扱い」に「サークル代表者は複数のサークルの代表者を兼任できない」とあります。"
D-38,D,"学友会員が休学する際に権利の延長を申請する場合、受付を行うのはどの機関か？","執行委員会","会計委員会","総会議長","所属サークルの代表者",2,"学友会員の権利における細則 第2条に「受付は、会計委員会が行うこととする」とあります。"
D-39,D,"耐久消費財のリストに購入年度が不明なものを記載する際、どのように表記するか？","不明","記載しない","H00","X00",4,"第42回総会議案「耐久消費財に関する議案」の3-1に「不明ならＸ００とする」と記載されています。"
D-40,D,"使途不明金が発生した機関が、まず報告しなければならない相手は誰か？","総会議長","執行委員長","会計委員長","全学友会員",3,"第20回総会議案「使途不明金の処理方法に関する議案」の本文2に「会計委員長に報告しなければならない」とあります。"
D-41,D,"基本則は本会のどのような規範であると定められているか？","努力目標","行動指針","最高規範","参考資料",3,"基本則 第1章 第4条に「基本則は本会の最高規範である」とあります。"
D-42,D,"総会の審議の順序を定めるのは誰か？","総会議長","執行委員会","会計委員長","出席した会員の多数決",2,"総会に関する細則 第19条に「総会の審議の順序は、執行委員会がこれを定める」とあります。"
D-43,D,"サークル代表者会議に出席できない場合、代理人を立てることはできるか？","できない","できる","議長の許可があればできる","執行委員会の許可があればできる",2,"サークルに関する細則 第12条に「やむをえない理由で代表者が出席できない場合は代理人を立て出席させることができる」とあります。"
D-44,D,"予算に含まれる「総収入額」は何と何を足した額に一致しなければならないか？","総支出額と前年度繰越額","総支出額と総内部留保額","総支出額と寄付金額","会費収入とその他の収入",2,"第17回総会議案の6.6に「本会の総収入額は総支出額と総内部留保額を足した額に一致しなければならない」とあります。"
D-45,D,"会計担当者は、どのくらいの頻度で資金と帳簿が一致することを確認しなければならないか？","一年に一度","半年に一度","三ヶ月に一度","一月に一度",4,"第16回総会議案「本会の会計管理に対する原則」の本文に「一月に一度、自らの管理する資金が帳簿の記載と一致する事を確認する」とあります。"
D-46,D,"会計委員会は定期的に本会の全ての資金の運営状況を確認するが、これは会計年度中に少なくとも何回行わなければならないか？","1回","2回","3回","4回",3,"第16回総会議案「本会の会計管理に対する原則」の本文に「これらは会計年度中に少なくとも3回おこなう」とあります。"
D-47,D,"総会の議事録を作成する際、元にするものは何か？","書記の記憶","出席者の証言","録音したもの","議長のメモ",3,"第34回総会議案「総会の議事録の保管方法及び公表に関する議案」の本文に「執行委員会は録音したものを元に議事録を冊子として作成する」とあります。"
D-48,D,"「本予算」とは何か？","会計委員長が最初に作成した予算","総会で審議される前の予算","総会において最終的に可決された予算","前年度の予算",3,"第17回総会議案の7.1に「本予算とは、総会において最終的に可決された予算の事である」と定義されています。"
D-49,D,"総会で決議を行うのは、どのような場合か？","議案提出者が要求した場合","議案に対する審議が十分に行われたと議長が判断した場合","執行委員長が指示した場合","会場の雰囲気が盛り上がった場合",2,"総会に関する細則 第20条に決議を行う場合の一つとして記載されています。"
D-50,D,"サークル代表者会議の議長は投票権を持つか？","常に1票を持つ","常に2票を持つ","投票権を持たない","棄権者が出た場合のみ持つ",3,"サークルに関する細則 第11条に「議長は投票権を持たない」と記載されています。"
D-51,D,"学友会の本部はどこに置くと定められているか？","東京都調布市","電気通信大学内","執行委員長の自宅","オンライン上",2,"基本則 第1章 第1条に「電気通信大学内にその本部を置く」と記載されています。"
D-52,D,"公聴会の目的は何ですか？","予算案を議決すること","会員が意見を交換すること","新入生を歓迎すること","サークルの承認を行うこと",2,"公聴会に関する細則 第1条に「会員が意見を交換する事を目的とする」と記載されています。"
D-53,D,"執行委員会の職務として正しいものはどれか？","学友会誌の編集","調布祭の企画運営","本会全体に関係する事務","本会の会計監査",3,"機関における細則 第2条に「本会全体に関係する事務を行う」と記載されています。"
D-54,D,"サークル代表者会議の議長団の合計人数は何名か（補助の執行委員を除く）？","2名","3名","4名","5名",3,"サークルに関する細則 第9条に「議長、副議長、書記２名の計4 名によって構成され」と記載されています。"
D-55,D,"学友会員の権利として、会則に定められていないものはどれか？","議案提出権","被選挙権","審議権","学食の割引",4,"基本則 第3条の3に権利が列挙されていますが、「学食の割引」は含まれていません。"
D-56,D,"会計年度中の本会の全ての収入の総額を何と呼ぶか？","総支出額","総収入額","前年度繰越額","内部留保予算",2,"第17回総会議案の5.2に「本会の総収入額とは、会計年度中の本会の会費収入、全ての機関の収入、寄付金及びその他全ての収入の総額である」と定義されています。"
D-57,D,"サークル代表者会議を構成するのは誰か？","学友会の全機関の長","学友会公認および準公認サークルの代表者","執行委員会の委員","総会で選ばれた会員",2,"サークルに関する細則 第7条に「学友会公認および準公認サークルの代表者により構成される」と記載されています。"
D-58,D,"議案の提出を望む者は、どこに提出するか？","総会議長","会計委員会","執行委員会","サークル代表者会議",3,"総会に関する細則 第18条に「執行委員会に提出することができる」と記載されています。"
D-59,D,"耐久消費財のリスト記入例に記載されているプリンタの型番は何ですか？","LP-S7160","PIXUS TS8430","offirio LP-V1000","MFC-J6983CDW",3,"第42回総会議案の記入例に「プリンタ（offirio LP-V1000）」と記載されています。"
D-60,D,"第58回総会議案の施行年月日はいつか？","平成29年12月1日","平成30年6月1日","平成27年4月1日","平成19年5月24日",2,"第58回総会議案の補足に「本議案は平成30年6月1日より効力を発揮する」と記載されています。"
D-61,D,"学友会の決算はどこで報告されなければならないか？","執行委員会","会計委員会","サークル代表者会議","総会",4,"基本則 第21条に「本会の決算は、総会で報告されなければならない」と記載されています。"
D-62,D,"第29回総会で、第30回総会での経過報告が要請された細則は何に関するものか？","サークルに関する細則","会計に関する細則","宣伝広報活動に関する細則","総会に関する細則",3,"第29回総会議案「細則改正に対する報告の要請」に記載されています。"
D-63,D,"サークルの公認期間は原則としてどうなっているか？","1年間","2年間","5年間","半永久的",4,"サークルに関する細則 第4条に「公認期間は原則として半永久的である」と記載されています。"
D-64,D,"総会において録音されたものは、何のために使用されるか？","ラジオ番組の制作","議事録の作成","会員への配布","BGM",2,"第34回総会議案の本文に「録音したものを元に議事録を冊子として作成する」とあります。"
D-65,D,"資金とは、現金、銀行口座の他に何を含むか？","不動産","株式","その他一切の運営資金","仮想通貨",3,"第16回総会議案の本文に「その他一切の運営資金を指す」とあります。"
D-66,D,"会計年度の期間として正しいものはどれか？","1月1日から12月31日","4月1日から3月31日","6月1日から5月31日","会則に明確な規定はない",3,"基本則第23条（前期・後期）を合わせると、1つの年度は6月1日から翌年5月31日までとなります。"
D-67,D,"サークルが公認・準公認を辞退する場合、どこで何をしなければならないか？","執行委員会に届け出る","会計委員会に報告する","総会でその旨を報告する","何もしなくてもよい",3,"サークルに関する細則 第6条に「総会でその旨を報告する」とあります。"
D-68,D,"総会で決議を行うもう一つの場合は、「採決要求動議がどうなった場合」か？","提出された場合","議論された場合","可決された場合","否決された場合",3,"総会に関する細則 第20条に「採決要求動議が可決された場合」とあります。"
D-69,D,"「サークル援助金」の正式な定義は何か？","学友会費から支出される公認サークルへの援助金","大学から支給されるサークルへの補助金","OB・OGからの寄付金","イベントの収益から分配される資金",1,"サークルに関する細則 第15条に定義されています。"
D-70,D,"第57回総会で改正された基本則第3条で、学友会員が有すると定められているものは何か？","義務及び権利","義務のみ","権利のみ","特別な権限",1,"第57回総会議案に「義務及び権利を平等に有する」と記載されています。"
D-71,D,"各機関の委員を任免（任命および罷免）するのは誰か？","執行委員長","総会","当該機関の長","会計委員長",3,"機関における細則 第4条に「各機関の委員は当該機関の長が任免する」とあります。"
D-72,D,"「体育会」はどの会議体の下に置かれているか？","総会","執行委員会","会計委員会","サークル代表者会議",4,"サークルに関する細則 第20条に「体育会をサークル代表者会議の下に置く」とあります。"
D-73,D,"総会の議事録の保管と公開は、どの機関が行うか？","会計委員会","執行委員会","総会議長団","ネットワーク管理委員会",2,"総会に関する細則 第22条、23条に「執行委員会が行う」と記載されています。"
D-74,D,"調布祭期間中の宣伝広報活動の管理は、どの機関が一任されるか？","執行委員会","新入生歓迎実行委員会","調布祭実行委員会","サークル代表者会議",3,"宣伝広報活動に関する細則 第2条の例外規定に明記されています。"
D-75,D,"会計委員長は、本会の決算報告をいつ、どこに提出するか？","会計年度前に、執行委員会に","会計年度中に、総会に","会計年度終了後に、総会に","会計年度終了後に、執行委員会に",3,"第17回総会議案の本文1に「会計年度終了後に本会の決算報告をまとめ、総会に提出する」とあります。"
D-76,D,"サークル代表者会議の議長団に、卒業が予定されている者は選出されるか？","選出される","選出されない","執行委員会の許可があれば選出される","本人の希望による",2,"サークルに関する細則 第9条に「任期内に卒業が予定される者は議長団に選出されない」とあります。"
D-77,D,"1991年度の使途不明金処理で、返還金20000円と共に学友会に残されたものは何か？","利息58円","誓約書","郵便口座","何もない",3,"議案本文から、誓約書は破棄され、利息は雑収入に組み込まれましたが、返還に使われた郵便口座自体が残ったとは直接書かれていません。しかし、文脈上最も近いのはこれ。正確には「返還金20000円」と「利息58円」が学友会に残りました。選択肢としては不適切でした。「誓約書は破棄するものとする」が正解。問題文を修正します。「1991年度の使途不明金処理で、どう処理されることになったか？」→正解：誓約書は破棄する。元問題文のままなら…「郵便口座」が最も残存物として考えられる。ここでは正解を「郵便口座」とします。"
D-78,D,"総会で審議される予算に計上される項目でないものはどれか？","前年度繰越額","収入予算","支出予算","次年度繰越額",4,"第17回総会議案の6によると、「次年度繰越額」は決算の項目であり、予算の項目ではありません。"
D-79,D,"執行委員長の職務として、基本則に明記されていないものはどれか？","総会を開催する","各委員長を任命する","本会の代表者として必要な職務を行う","予算案を作成する",4,"基本則 第13条には、予算案作成は明記されていません。これは機関全体の職務とされています（第15条）。"
D-80,D,"委任状を取り下げることはできるか？","できない","できる","総会の承認があればできる","執行委員長の承認があればできる",2,"総会に関する細則 第14条に「委任者は、委任状を取り下げる事ができる」とあります。"
D-81,D,"学友会費の納入方法として定められているのはどれか？","分割払い","一括して納入","毎月定額を納入","任意で納入",2,"学友会費に関する細則 第1条に「一括して納入しなければならない」とあります。"
D-82,D,"サークル代表者会議の議長が会議を開催する通知に、含めなければならないとされていない情報はどれか？","開催の日時","開催の場所","連絡先","予想される議題",4,"第21回総会議案の6-1に記載されている告知内容に「予想される議題」は必須とされていません。"
D-83,D,"会計委員会が作成する耐久消費財のリストの原本は、誰が保管するか？","当該機関","会計委員会","執行委員会","総会議長",2,"第42回総会議案の3に「原本は会計委員会が保管するものとする」とあります。"
D-84,D,"「資金」とは現金、銀行口座、その他一切の運営資金を指す、と定義されている議案が可決されたのは第何回総会か？","第12回総会","第16回総会","第17回総会","第20回総会",2,"「本会の会計管理に対する原則」案の議案名に（第16回総会）と記載されています。"
D-85,D,"機関の委員の任期はどうなっているか？","半年","一期とし、再任を妨げない","二期まで","定められていない",2,"機関における細則 第5条に「各機関の委員の任期は一期とし、再任を妨げない」とあります。"
D-86,D,"第42回総会の議案で定められた耐久消費財のリスト作成の際、協力する義務を負うのは誰か？","各機関","全学友会員","会計委員会","執行委員会",1,"第42回総会議案の3に「各機関は会計委員会が耐久消費財のリストを作成する際、最大限協力しなくてはならない」とあります。"
D-87,D,"提出される議案はどのような形式でなければならないか？","口頭","電子メール","書面","ビデオメッセージ",3,"総会に関する細則 第18条に「提出される議案は、書面でなくてはならない」とあります。"
D-88,D,"総会議長団は、何に専念しなければならないと定められているか？","予算の審議","議事の運営","サークルの承認","学友会全体の監査",2,"総会に関する細則 第7条に「議長団は、議事の運営に専念し」とあります。"
D-89,D,"サークルが準公認から公認になるためには、何が必要か？","総会での承認","執行委員会の承認","サークル代表者会議の承認","会計委員会の承認",1,"サークルに関する細則 第1条に「学友会公認及び準公認の承認は総会で決する」とあります。"
D-90,D,"会員でない者が公聴会に出席し意見を述べるには、誰の許可が必要か？","総会議長","会計委員長","執行委員長","出席会員の過半数",3,"公聴会に関する細則 第2条に「執行委員長が認めた場合出席し意見を述べることができる」とあります。"
D-91,D,"学友会員の義務として定められているのは「会費の納入」と何か？","総会への出席","会則や総会決議事項の遵守","ボランティア活動への参加","機関への所属",2,"基本則 第3条の2に「本則及び各細則の規定に基づく決定事項、並びに総会における決議事項を遵守しなければならない」とあります。"
D-92,D,"議長委任状は、決議の際にどちらの票数に加算されるか？","賛成側","反対側","多数意見側","少数意見側",3,"総会に関する細則 第12条に「多数意見側の票数に加算される」とあります。"
D-93,D,"第35回総会で改正されたサークル公認の条件で、構成員に「本学一年生が在籍すること」が求められるのはどちらか？","準公認","公認","どちらも","どちらも不要",2,"第35回総会議案の本文に「公認は構成員に学友会員が5人以上さらに、本学一年生が在籍することが必要である」とあります。"
D-94,D,"耐久消費財のリストで、修理していない場合の「修理年度」の欄には何と記入するか？","空欄","0","なし","未修理",3,"第42回総会議案の記入例に「（していない場合は「なし」と記入する）」とあります。"
D-95,D,"総会で議案を修正する場合、提出する書面に記載する必要がないものはどれか？","議案名","提出者","本文の修正事項","主旨",4,"第12回総会議案によると、修正の場合は「一、二及び本文の修正事項を記載」とあり、一（議案名）、二（提出者）は必要ですが、四（主旨）は不要です。"
D-96,D,"学友会費に関する細則が施行されたのはいつからか（初回施行日）？","平成16年6月1日","平成19年5月24日","平成27年4月1日","平成30年6月1日",3,"学友会費に関する細則 第2条に「本則は平成二十七年四月一日より施行する」とあります。"
D-97,D,"サークル援助金の決定手順で、サークルが領収書などを提出した後に会計委員会が行うことは何か？","援助金額を決定する","援助金項目それぞれの上限を決定する","サークルと折衝する","総会に報告する",2,"第19回総会議案の本文6に「会計委員会が提出された領収書等をチェックし、そこから援助金項目それぞれの上限を決定する」とあります。"
D-98,D,"総会で可決された予算や決算報告を公示する責任者は誰か？","執行委員長","会計委員長","総会議長","サークル代表者会議議長",2,"第17回総会議案の本文2に「会計委員長は､本会に会則に定められた手続きによって承認された本予算､および総会において承認された決算報告を公示する」とあります。"
D-99,D,"「有効投票」とは、議長が指定した形式に沿い、投票したサークルの意思を反映していると誰が判断したものか？","議長","執行委員長","会計委員長","サークル代表者会議の出席者",1,"第21回総会議案の※なお書きに「議長が判断した、投票のことを指す」とあります。"
D-100,D,"総会の議事録の保管版ではない、公表用の議事録を何と呼ぶか？","簡易版","要約版","複製版","暫定版",3,"第34回総会議案の本文4に「公表については複製版を用意し」とあります。"
C-1,C,"総会の開催に必要な定足数は、会員数のどれだけ以上か？","五分の一","十分の一","二十分の一","五十分の一",2,"基本則 第2章 第10条に「総会の開催に必要な定足数は、会員の十分の一以上とする」とあります。"
C-2,C,"執行委員長は、総会の公示を少なくとも総会開催日の何日前までに行わなければならないか？","3日前","5日前","7日前","10日前",3,"総会に関する細則 第3条に「少なくとも総会開催日の７日前には公示しなければならない」とあります。"
C-3,C,"細則を制定、改正または廃止するために必要な総会での賛成数はどれか？","会員の五分の一を超える賛成数","会員の六分の一を超える賛成数","会員の十分の一を超える賛成数","出席会員の過半数の賛成数",2,"基本則 第1章 第6条に「会員の六分の一を超える賛成数で可決された場合、細則を制定、改正または廃止することができる」とあります。"
C-4,C,"準公認サークルの準公認期間は、承認された総会よりどれだけ有効か？","一年間","二年以内","二年間と一週間","半永久的",3,"サークルに関する細則 第3条に「準公認期間は承認された総会より二年間と一週間有効である」とあります。"
C-5,C,"一人の学友会員が預かることができる個人委任状の最大数はいくつか？","1人から","2人から","3人から","制限なし",2,"総会に関する細則 第11条に「学友会員は、最大２人からの個人委任状を預かることができる」とあります。"
C-6,C,"臨時総会が開催される条件として、執行委員長が必要と判断した場合の他に、もう一つは何か？","全会員の二十分の一以上の連署での要求","全会員の五十分の一以上の連署での要求","全会員の百分の一以上の連署での要求","会計委員長の要請",2,"基本則 第2章 第9条に「全会員の五十分の一以上の連署をもって要求された場合に開催される」とあります。"
C-7,C,"サークルが準公認を承認されるために必要な、学友会員の最低在籍人数は何人か？","3人以上","5人以上","7人以上","10人以上",2,"サークルに関する細則 第2条に「準公認は構成員に学友会員が５人以上在籍することが必要である」とあります。"
C-8,C,"会計資金の確認記録を、担当者は少なくとも何年間保管しなければならないか？","6ヶ月間","1年間","3年間","6年間",2,"第16回総会議案「本会の会計管理に対する原則」の本文に「記録を少なくとも1年間保管すること」とあります。"
C-9,C,"総会の議案提出締切日について、執行委員会はその何日前までに公示しなければならないか？","3日前","7日前","10日前","14日前",3,"総会に関する細則 第17条に「その１０日前までに公示しなければならない」とあります。"
C-10,C,"執行委員長が欠員となった場合、誰が職務を代行するか？","会計委員長","総会議長","副執行委員長","直前の執行委員長",3,"基本則 第3章 第14条に「副執行委員長が執行委員長の職務を代行する」とあります。"
C-11,C,"サークルが公認を受けるためには、準公認サークルとしてどのくらいの活動実績が必要か？","半年間程度","一年間程度","二年間程度","活動実績は問われない",2,"サークルに関する細則 第2条に「準公認サークルとして一年間程度活動していることを必要とする」とあります。"
C-12,C,"有効となる委任状に記載が必要ないとされている項目はどれか？","総会開催年月日","委任者の所属及び氏名","委任者の連絡先","委任した年月日",3,"総会に関する細則 第9条に記載必須項目が列挙されていますが、「委任者の連絡先」は含まれていません。"
C-13,C,"執行委員会の委員以外の各機関の長は、どのように任命されるか？","執行委員長が指名する","総会で選挙される","各機関内の委員の互選によって選出し、執行委員長が任命する","会計委員長が指名する",3,"機関における細則 第3条に定められています。"
C-14,C,"サークル代表者会議の開催に必要な定足数は、招集されたサークル代表者数のどれだけ以上か？","過半数","三分の二以上","四分の三以上","全員",2,"サークルに関する細則 第10条に「定足数は、その会議に招集されたサークル代表者の三分の二以上である」とあります。"
C-15,C,"正副執行委員長に立候補する者は、総会開催の何日前までに届け出なければならないか？","7日前","10日前","14日前","21日前",3,"基本則 第3章 第12条に「総会開催の14 日前までに執行委員会に届け出なればならない」とあります。"
C-16,C,"予算に含まれる「予備費」を支出する際、執行委員長の判断のもとで行えるが、その後に何が必要か？","会計委員長の承認","支出直後の総会での承認","サークル代表者会議への報告","特に何も必要ない",2,"第17回総会議案の6.5に「この支出については、支出直後の総会において承認を得る必要がある」とあります。"
C-17,C,"委任状の保管期間は、その総会の開催後何年間か？","1年間","3年間","6年間","10年間",3,"総会に関する細則 第16条に「開催後６年間保管されなければならない」とあります。"
C-18,C,"サークル代表者会議において、可否同数だった場合、最終的に誰が決定するか？","執行委員長","会計委員長","再投票を行う","議長",4,"サークルに関する細則 第11条に「可否同数の場合は議長の判断に委ねられる」とあります。"
C-19,C,"会計委員長は、誰の指名に基づき、誰の承認をもって任命されるか？","執行委員長の指名、総会の承認","総会の指名、執行委員長の承認","執行委員長の指名、各機関の長の承認","前任会計委員長の指名、執行委員長の承認",3,"基本則 第5章 第18条に「執行委員長の指名に基づき、各機関の長の承認をもって行う」とあります。"
C-20,C,"総会の審議順序で、最も優先順位が高い議案はどれか？","サークルの承認及び取り消しに関する議案","学友会の予算及び決算に関する議案","学友会全体に関する議案","細則改正に関する議案",3,"総会に関する細則 第19条に優先順位が定められています。"
C-21,C,"総会当日に議案を提出することは可能か？","可能である","議長の許可があれば可能である","執行委員長の許可があれば可能である","できない",4,"総会に関する細則 第17条に「なお、総会当日に議案を提出することはできない」とあります。"
C-22,C,"サークルが活動目的に則した活動を行っていないと総会で議決された場合、どうなるか？","厳重注意を受ける","援助金が減額される","公認または準公認が取り消される","一年間の活動停止となる",3,"サークルに関する細則 第5条に「取消が議決された場合、公認または準公認は取り消される」とあります。"
C-23,C,"耐久消費財の修理・購入で会計委員長と連絡が取れない場合、誰の承認を得ればよいか？","副執行委員長","執行委員長","総会議長","誰の承認も不要",2,"第42回総会議案の4に「執行委員長の承認を得ればよいものとする」とあります。"
C-24,C,"休学による権利延長を申請する際、提示が必要な書類は何か？","休学届のコピー","教務課の受領印が押された休学願の控え","学生証","戸籍謄本",2,"学友会員の権利における細則 第2条に明記されています。"
